Country,Year,Speech_Paragraph,Paragraph_ID
BRA,2010,"When President Lula first spoke in this Hall, in 2003, the world lived under the shadow of the invasion of Iraq. We hope we have learned the lessons of that episode. Blind faith in intelligence reports tailored to justify political goals must be rejected. We must ban once and for all the use of force that is inconsistent with international law. Furthermore, it is fundamental to value and promote dialogue and the peaceful resolution of disputes.",BRA_2010_17
BRA,2010,"In order to achieve a truly secure world, the promise of the total elimination of nuclear weapons must be fulfilled. Unilateral reductions are welcome but insufficient, especially when they occur in tandem with the modernization of nuclear arsenals.",BRA_2010_18
BRA,2010,"As President Lula has often stated, multilateralism is the international face of democracy.",BRA_2010_19
BRA,2010,The United Nations must be the main center of decision-making in international politics.,BRA_2010_20
BRA,2010,"The changes that have occurred in the world over the past few decades and the series of crises we have faced in food security, climate change, the economic and financial sphere and peace and security make it urgent to redefine the rules that govern international relations.",BRA_2010_21
BRA,2010,"The financial crisis of 2008 accelerated change in global economic governance. The Group of Twenty (G-20) replaced the Group of Eight as the primary forum for deliberation on economic issues. The G-20 was a step forward, but it must be adjusted to ensure, for instance, greater African participation. The relevance and legitimacy of the G-20 can be preserved only if it maintains frank and permanent dialogue with all the nations represented in this General Assembly.",BRA_2010_22
BRA,2010,"At the height of the crisis, we succeeded in avoiding the worst-case scenario: a surge of uncontrolled protectionism, which would have thrown the world into a deep depression. But the developed countries have not demonstrated the necessary commitment to global economic stability. They continue to let themselves be guided by parochial interests. Nowhere is that more evident than in the Doha round of negotiations in the World Trade Organization. A balanced solution to that negotiating process, which has lasted for almost 10 years, would promote economic expansion and the development of the poorest countries, with the end of distorting subsidies and protectionist barriers. After all, poor countries are the greatest victims of the narrow and selfish view that still prevails in international trade.",BRA_2010_23
BRA,2010,Reforms have also been insufficient in the financial sector. Unjustified resistance is preventing the implementation of agreed-upon changes. Obstinacy in maintaining anachronistic privileges perpetuates and deepens the illegitimacy of institutions.,BRA_2010_24
BRA,2010,"Another major challenge we face is achieving a global, comprehensive and ambitious agreement on climate change. In order to move forward on this matter, countries must stop hiding behind each other.",BRA_2010_25
BRA,2010,"Brazil, like other developing countries, has done its part. But in Copenhagen, several delegations, especially from the rich world, sought excuses to evade their moral and political obligations. They forgot that one cannot negotiate with Nature.",BRA_2010_26
BRA,2010,"A positive outcome of the sixteenth Conference of the Parties to the United Nations Framework Convention on Climate Change, with real progress in 7 10-54827 forests, financing for adaptation and mitigation and a reaffirmation of the Kyoto commitments, is indispensable. The Mexican presidency can count on Brazil’s engagement to achieve this objective.",BRA_2010_27
BRA,2010,"In 2012, we will host, in Rio de Janeiro, Brazil, the Rio+20 Conference. On behalf of the Brazilian Government, I invite all delegations to fulfill the promise of truly sustainable development.",BRA_2010_28
BRA,2010,"The reform of global governance has not yet reached the field of international peace and security. In the economic and environmental areas, the wealthiest nations have already understood that they cannot do without the cooperation of the poor and emerging countries. When it comes to war and peace, however, the traditional players are reluctant to share power.",BRA_2010_29
BRA,2010,"The Security Council must be reformed and expanded to allow for greater participation by developing countries, including as permanent members. We cannot continue with working methods that lack transparency and that allow the permanent members to discuss behind closed doors and for as long as they wish issues that concern all mankind.",BRA_2010_30
BRA,2010,"Brazil has sought to live up to what is expected from all Security Council members, including non- permanent ones — namely, that they contribute to peace. For this reason, we made a serious effort to find an instrument that could enable progress towards a solution of the Iranian nuclear question. In so doing, we relied on proposals that had been presented as a unique opportunity to build confidence between the parties. The Tehran Declaration of 17 May, signed by Brazil, Turkey and Iran, removed obstacles that, according to the very authors of those proposals, had previously prevented an agreement.",BRA_2010_31
BRA,2010,"The Tehran Declaration does not exhaust the issue and was never intended to do so. We are convinced that, once back to the negotiating table, the parties will find ways to resolve other issues, such as 20 per cent enrichment and the stock of enriched uranium accumulated since October 2009. In spite of the sanctions, we still hope that the logic of dialogue and understanding will prevail. The world cannot run the risk of a new conflict like the one in Iraq. We have been insisting, therefore, that the Iranian Government maintain an attitude of flexibility and openness towards negotiations, but it is necessary that all those concerned also demonstrate such willingness.",BRA_2010_32
BRA,2010,"We are closely following developments in the peace process in the Middle East. We hope the direct talks between Palestinians and Israelis launched earlier this month will produce concrete results that lead to the creation of a Palestinian State within the pre-1967 borders, a State that ensures for the Palestinian people a dignified life, co-existing side by side and in peace with the State of Israel.",BRA_2010_33
BRA,2010,"However, it is not the format of the dialogue that will determine whether it will yield results. What matters is the willingness of the parties to reach a just and lasting peace. That will be easier with the involvement of all those concerned. Freezing the construction of settlements in the occupied territories, lifting the Gaza blockade and ending attacks against civilian populations are crucial elements in the process.",BRA_2010_34
BRA,2010,"In his visit to Israel, Palestine and Jordan in March, President Lula spoke with government leaders and representatives of civil society about those issues.",BRA_2010_35
BRA,2010,"We frequently receive in Brasilia the leaders of various countries of the region, who seek support in resolving problems that have afflicted them for decades and have not been solved through the traditional means and actors. Brazil, which has about 10 million people of Arab descent and a sizeable Jewish community living together in harmony, will not shy away from making its contribution to the peace that we all yearn for.",BRA_2010_36
BRA,2010,"Brazil’s commitment to the promotion of human rights is also unwavering. We favour a non-selective, objective and multilateral treatment of human rights, without politicization or bias, in which everyone — the rich and the poor, the powerful and the weak — is subject to the same scrutiny. In our view, the exercise of human rights is more effectively ensured by dialogue and cooperation than by arrogant attitudes derived from self-declared moral superiority.",BRA_2010_37
BRA,2010,"During his eight years in office, President Lula has developed a foreign policy that is independent, free of any sort of submission, and respectful of Brazil’s neighbours and partners. It is an innovative foreign policy, which does not distance itself from the fundamental values of the Brazilian nation: peace, pluralism, tolerance and solidarity.",BRA_2010_38
BRA,2010,"Just as Brazil has changed and will continue to change, the world is also changing. We must deepen and accelerate this process. With the technology and wealth at our disposal, there is no longer any justification for hunger, poverty and epidemics of 10-54827 8 preventable diseases. We can no longer live with discrimination, injustice and authoritarianism. We must face the challenges of nuclear disarmament, sustainable development and freer and fairer trade. Rest assured, Brazil will continue to fight to make these ideals a reality.",BRA_2010_39
BRA,2011,"For the very first time in the history of the United Nations, a female voice is opening the general debate. It is the voice of democracy and equality that reverberates from a forum that is committed to being the most representative in the world. It is with a sense of personal humility, but with justifiable pride as a woman, that I greet this historic moment.",BRA_2011_01
BRA,2011,"I share this emotion with more than half of the human beings on this planet, who, like me, were born women and who, with a sense of purposeful determination, are now taking the place in the world they rightly deserve. I am certain that this will be the century of women. In the Portuguese language, words such as life, soul and hope are feminine nouns. Two other words in Portuguese that are especially dear to me are also feminine, namely, courage and sincerity.",BRA_2011_02
BRA,2011,And it is in a spirit of courage and sincerity that I wish to address the General Assembly today.,BRA_2011_03
BRA,2011,"The world is experiencing an extremely delicate period, one that at the same time offers us a major historic opportunity. We face an economic crisis that, if not overcome, could become a source of serious political and social disruption, an unprecedented upheaval capable of causing serious imbalances in relationships between people and nations. More than ever before, the fate of the world is in the hands of its rulers and leaders, with no exceptions. Either we combine our efforts and emerge victorious together, or we will all emerge defeated. It is now less important to know or decide who caused the situation we are facing — because, after all, that is clear enough by now. What does matter is that we start finding collective, speedy and genuine solutions.",BRA_2011_04
BRA,2011,"The current crisis is too serious to be managed by a few countries. Their Governments and central banks still have the greatest responsibility in implementing the process. Yet, since all countries suffer the consequences, all are entitled to participate in their solutions. It is not because of a lack of financial resources that the leaders of developed countries have not yet found a solution to the crisis. Rather, if I may put it this way, it is due to a lack of political resources and, at times, of clear ideas. There is a part of the world that has not yet found a balance between appropriate fiscal adjustments and correct and precise fiscal stimuli conducive to demand and growth. They have been caught in a trap that does not distinguish between partisan interests and the legitimate interests of society. The challenge posed by the crisis entails replacing outdated theories that belong to an old world with new proposals crafted for a new world.",BRA_2011_05
BRA,2011,"While many Governments are shrinking, unemployment, the bitterest face of the crisis, is growing. There are already 205 million unemployed people in the world, of whom 44 million are in Europe and 14 million in the United States. Tackling this scourge and preventing it from spreading to other regions of the planet is vitally important. We women know better than anyone that unemployment is not just a statistic; it affects our families, children and 7 11-50692 husbands. It takes away hope and leaves a trail of violence and pain.",BRA_2011_06
BRA,2011,"It is quite telling that it is the President of an emerging country, a country experiencing almost full employment, who has come here today to speak in such stark terms of a tragedy that has mainly hit developed countries.",BRA_2011_07
BRA,2011,"Like other emerging countries, Brazil has thus far been less affected by the global crisis. But we know that our ability to withstand the crisis is not unlimited.",BRA_2011_08
BRA,2011,"We are willing and able to help those countries that are already facing an acute crisis, while there is still time.",BRA_2011_09
BRA,2011,"A new kind of cooperation between emerging and developed countries is an historic opportunity to redefine, with solidarity and responsibility, the commitments that govern international relations.",BRA_2011_10
BRA,2011,"The world of today faces a crisis that is at once of economics, governance and political coordination.",BRA_2011_11
BRA,2011,"There will not be a return to confidence and growth until we intensity coordination efforts among United Nations Member States and other multilateral institutions, including the Group of Twenty, the International Monetary Fund, the World Bank, and other organs.",BRA_2011_12
BRA,2011,"The United Nations and those organizations must act urgently to send clear signals of political cohesion and macroeconomic coordination. For example, fiscal and monetary policies should be submitted to mutual assessment in such a way as to ultimately prevent undesirable effects on other countries, thus avoiding defensive reactions that in turn lead to a vicious circle.",BRA_2011_13
BRA,2011,"The solution to the debt problem should be combined with economic growth. There are obvious signs that several advanced economies are on the threshold of recession, which will significantly hamper resolution of their fiscal problems.",BRA_2011_14
BRA,2011,"It is clear that the priority for the world economy at this moment should be to solve the problems of those countries that are facing a sovereign debt crisis and reversing the current recession scenario. The most developed countries must establish coordinated policies to stimulate economies that have been extremely weakened by the crisis. Countries with emerging economies can help in that effort. Countries with a high surplus should strengthen their domestic markets and, as appropriate, make their foreign exchange rate policies more flexible in such a way that contributes to the eventual rebalancing of global demand.",BRA_2011_15
BRA,2011,Deepening the regulation of the financial system and controlling that inexhaustible source of instability is a pressing need. Controls must be imposed on the foreign-exchange war by adopting floating foreign- exchange regimes. The task at hand is about preventing the manipulation of foreign exchange that occurs not only through excessively expansionist monetary policies but also through an artificially fixed foreign exchange.,BRA_2011_16
BRA,2011,"Without a doubt, the reform of multilateral financial institutions should continue, thus increasing the participation of emerging countries, which, as driving forces, are responsible for the growth of the world’s economy. We should fight protectionism and all forms of commercial manipulation. They do increase competitiveness, but in a spurious, fraudulent fashion.",BRA_2011_17
BRA,2011,"Brazil is doing its homework. With sacrifices, but at the same time with a sense of insightfulness, we have kept Government spending under strict control, to the point of generating a sizable surplus in Government accounts while ensuring that those steps will not compromise the success of our social policies or the pace of our investment and growth. We are also taking additional precautions to buttress our ability to withstand the crisis by strengthening our domestic market with income distribution and technological innovation policies.",BRA_2011_18
BRA,2011,"For at least three years now, Brazil has reiterated — time and again, from this very podium — that we must all tackle the causes, and not only the consequences, of global instability. We have emphasized time and again the interrelations among development, peace and security. We have often underscored that development policies should be increasingly coupled with the Security Council’s strategies in the pursuit of sustainable peace.",BRA_2011_19
BRA,2011,"That is how we have acted as part of our commitments to Haiti and to Guinea-Bissau. As a leading country in the United Nations Stabilization Mission in Haiti, Brazil has since 2004 undertaken humanitarian projects that integrate security and development. With deep respect for Haitian sovereignty, Brazil is proud to assist in the consolidation of democracy in that country.",BRA_2011_20
BRA,2011,"11-50692 8 We are in a position to provide a solidarity-based contribution to brotherly countries in the developing world in matters such as food security, agricultural technology, generation of clean and renewable energy and the fight against hunger and poverty.",BRA_2011_21
BRA,2011,"Since late 2010, we have witnessed a series of grass-roots demonstrations that have come to be known as the Arab Spring. Brazil is the adopted homeland of many immigrants from that part of the world.",BRA_2011_22
BRA,2011,"Brazilians sympathize with the pursuit of an ideal that belongs to no culture in particular, because it is by definition universal: freedom.",BRA_2011_23
BRA,2011,"The nations united here today must find a legitimate and effective way to aid those societies that cry out for reform — without, however, depriving their citizens of a lead role in the process. We strongly repudiate the brutal crack down episodes that victimize civilian populations. We remain convinced that for the international community, resort to force must always be the last alternative.",BRA_2011_24
BRA,2011,"The quest for peace and security in the world cannot be limited to interventions in extreme situations only. We support the Secretary-General in his efforts to engage the United Nations in conflict prevention by tirelessly exercising diplomacy and promoting development. The world of today suffers from the painful consequences of interventions that have worsened existing conflicts. That has allowed terrorism to creep into areas where it previously did not exist, thus generating new cycles of violence and multiplying the number of civilian victims.",BRA_2011_25
BRA,2011,"Much is said about the responsibility to protect, yet little is said about responsibility while protecting.",BRA_2011_26
BRA,2011,"These are concepts that we must develop and mature together. To that end, the role of the Security Council is critical, and the more legitimate its decisions are, the more appropriate that role will be. And the Council’s very legitimacy increasingly depends upon its reform.",BRA_2011_27
BRA,2011,"With each passing year, a solution to the lack of representativeness in the Security Council becomes an ever more urgent need, which in turn erodes its efficacy. Former Assembly President Joseph Deiss reminded me of an impressive fact, namely, that the debate on the proposed reform of the Security Council is now entering its eighteenth year.",BRA_2011_28
BRA,2011,"We can delay no longer. The world needs a Security Council that reflects contemporary realities, a Council that will incorporate new permanent and non-permanent members, especially those representing developing countries.",BRA_2011_29
BRA,2011,"Brazil is ready to take on its responsibilities as a permanent member of the Council. We have lived in peace with our neighbours for more than 140 years and have fostered successful integration and cooperation processes with them. Our Constitution expressly states our commitment to abstain from the use of nuclear energy for non-peaceful purposes. I am proud to say that Brazil is a driver of peace, stability and prosperity in the region and even beyond it.",BRA_2011_30
BRA,2011,"In the Human Rights Council, we have drawn inspiration from our own history of endeavour as a nation. We desire for other countries what we desire for ourselves. Authoritarianism, xenophobia, poverty, capital punishment and discrimination are all sources of human rights violations. We know that violations occur in every country, without exception. We must recognize this reality, and we must accept criticism. We will ultimately benefit from criticism, and we should pointedly criticize flagrant violations wherever they occur.",BRA_2011_31
BRA,2011,I welcome South Sudan to our family of nations.,BRA_2011_32
BRA,2011,Brazil is ready to cooperate with the youngest Member of the United Nations and to contribute to its sovereign development.,BRA_2011_33
BRA,2011,"I regret, however, that from this podium I am still unable to welcome Palestine into full membership of the Organization. Brazil has recognized the Palestinian State as defined by the 1967 borders, in accordance with United Nations resolutions. Like most countries in the Assembly, we believe that the time has come for Palestine to be represented as a full Member in this forum.",BRA_2011_34
BRA,2011,"The recognition of the Palestinian people’s legitimate right to sovereignty and self-rule expands the possibilities and prospects for a lasting peace in the Middle East. Only a free and sovereign Palestine can respond to Israel’s legitimate desire for peace with its neighbours, security within its borders and political stability in its region. I come from a country where descendents of Arabs and Jews are compatriots and live together in harmony, which is as it should be.",BRA_2011_35
BRA,2011,"Brazil advocates for a global, comprehensive and ambitious agreement within the framework of the United Nations to fight climate change. To achieve 9 11-50692 this, countries must shoulder their respective responsibilities. Brazil submitted a concrete, voluntary and significant proposal for reducing greenhouse gas emissions during the 2009 United Nations Climate Change Conference in Copenhagen. We hope to be able to make progress at the upcoming meeting in Durban by supporting developing countries in their efforts to reduce emissions, and at the same time ensuring that developed countries fulfil their obligations, beyond 2012, on the basis of new targets under the Kyoto Protocol.",BRA_2011_36
BRA,2011,"Brazil will have the honour of hosting the United Nations Conference on Sustainable Development — Rio+20 — in June of 2012. Along with Secretary- General Ban Ki-moon, I reiterate our invitation to all heads of State and Government to join us at that Conference next year.",BRA_2011_37
BRA,2011,"Brazil has learned that fighting poverty is the best development policy, and that a genuine human rights policy must ultimately be based on reducing inequalities and discrimination between and among regions, people and genders. Brazil has made political, economic and social progress without compromising any of its democratic freedoms. We have met almost all of the Millennium Development Goals before 2015.",BRA_2011_38
BRA,2011,Forty million Brazilian men and women have come up out of poverty and been lifted into the middle class. I am fully confident that we will achieve our goal of eradicating extreme poverty in Brazil by the end of my term in office.,BRA_2011_39
BRA,2011,"In my country, women have been vital to the task of overcoming social inequalities. Our income distribution programmes place mothers as the central figures in the scheme. It is they who manage the resources that allow families to invest in the health and education of their children. Yet my country, like every other nation, still has to do much more when it comes to valuing women and asserting their status. In that regard, I would like to congratulate the Secretary- General for making women a priority during his tenure at the head of the United Nations. I particularly welcome the creation of UN-Women and the appointment of its Executive Director, Ms. Michelle Bachelet.",BRA_2011_40
